query,url
"Information Technology Act, 2000",https://indiankanoon.org/doc/1258940/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1055120/
"Information Technology Act, 2000",https://indiankanoon.org/doc/78044/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1442261/
"Information Technology Act, 2000",https://indiankanoon.org/doc/452791/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1505065/
"Information Technology Act, 2000",https://indiankanoon.org/doc/402501/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1616195/
"Information Technology Act, 2000",https://indiankanoon.org/doc/371543/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1253286/
"Information Technology Act, 2000",https://indiankanoon.org/doc/853625/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1477060/
"Information Technology Act, 2000",https://indiankanoon.org/doc/592186/
"Information Technology Act, 2000",https://indiankanoon.org/doc/19543/
"Information Technology Act, 2000",https://indiankanoon.org/doc/100506284/
"Information Technology Act, 2000",https://indiankanoon.org/doc/995544/
"Information Technology Act, 2000",https://indiankanoon.org/doc/150327236/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1389751/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1962230/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1865820/
"Information Technology Act, 2000",https://indiankanoon.org/doc/518562/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1040076/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1774397/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1088436/
"Information Technology Act, 2000",https://indiankanoon.org/doc/940650/
"Information Technology Act, 2000",https://indiankanoon.org/doc/993519/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1735825/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1408526/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1514290/
"Information Technology Act, 2000",https://indiankanoon.org/doc/98853717/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1961176/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1529711/
"Information Technology Act, 2000",https://indiankanoon.org/doc/70803/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1272480/
"Information Technology Act, 2000",https://indiankanoon.org/doc/53183510/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1983292/
"Information Technology Act, 2000",https://indiankanoon.org/doc/44673/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1664149/
"Information Technology Act, 2000",https://indiankanoon.org/doc/710460/
"Information Technology Act, 2000",https://indiankanoon.org/doc/675440/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1414109/
"Information Technology Act, 2000",https://indiankanoon.org/doc/1389085/
"Information Technology Act, 2000",https://indiankanoon.org/doc/63476/
